,Influencers,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
230,realDonaldTrump,Sat Jun 30 10:59:04 +0000 2018,"RT @realDonaldTrump: Six months after our TAX CUTS, more than 6 MILLION workers have received bonuses, pay raises, and retirement account c…",0.0688,0.139,0.167,0.694,70
231,realDonaldTrump,Sat Jun 30 10:57:05 +0000 2018,"RT @realDonaldTrump: Before going any further today, I want to address the horrific shooting that took place yesterday at the Capital Gazet…",-0.6249,0.053,0.178,0.769,69
232,realDonaldTrump,Sat Jun 30 10:49:42 +0000 2018,"RT @IvankaTrump: Thank you @SecPompeo. 
It was an honor to join you and your talented, passionate colleagues at @StateDept to honor the her…",0.9501,0.511,0.0,0.489,68
233,realDonaldTrump,Sat Jun 30 10:49:20 +0000 2018,RT @IvankaTrump: Thank you Senator Alexander for your leadership on career + technical education. 11+ million students and workers across o…,0.3612,0.116,0.0,0.884,67
234,realDonaldTrump,Fri Jun 29 23:30:02 +0000 2018,The new plant being built by Foxconn in Wisconsin is incredible. Congratulations to the people of Wisconsin and to… https://t.co/VH2tbPgIbH,0.5994,0.17,0.0,0.83,66
235,realDonaldTrump,Fri Jun 29 23:21:33 +0000 2018,"RT @FoxBusiness: .@IvankaTrump: ""I think one of the tremendous opportunities that were seeing because the economy is so strong is that peop…",0.7809,0.255,0.0,0.745,65
236,realDonaldTrump,Fri Jun 29 23:20:18 +0000 2018,"RT @Scavino45: “@ICEgov New York operation leads to arrests of 3 dozen Darknet vendors selling illicit goods, weapons, drugs seized and mor…",-0.7003,0.0,0.234,0.766,64
237,realDonaldTrump,Fri Jun 29 18:06:13 +0000 2018,"Six months after our TAX CUTS, more than 6 MILLION workers have received bonuses, pay raises, and retirement accoun… https://t.co/GzLNe4WkQA",0.0688,0.15,0.181,0.669,63
238,realDonaldTrump,Fri Jun 29 17:59:22 +0000 2018,"Before going any further today, I want to address the horrific shooting that took place yesterday at the Capital Ga… https://t.co/wcukrK7M48",-0.6249,0.055,0.186,0.759,62
239,realDonaldTrump,Thu Jun 28 20:49:55 +0000 2018,"Prior to departing Wisconsin, I was briefed on the shooting at Capital Gazette in Annapolis, Maryland. My thoughts… https://t.co/DUhjdWWxBP",0.0,0.0,0.0,1.0,61
240,realDonaldTrump,Thu Jun 28 19:09:42 +0000 2018,"AMERICA IS OPEN FOR BUSINESS! 
https://t.co/fuRF2Z6CZl",0.0,0.0,0.0,1.0,60
241,realDonaldTrump,Thu Jun 28 18:57:22 +0000 2018,"Today, we broke ground on a plant that will provide jobs for up to 15,000 Wisconsin Workers! As Foxconn has discove… https://t.co/AkvrABaDNj",-0.4753,0.0,0.134,0.866,59
242,realDonaldTrump,Thu Jun 28 13:06:01 +0000 2018,"I am in Milwaukee, Wisconsin, for meetings. Soon to leave for a big groundbreaking for Foxconn, which is building a… https://t.co/d5Y3nMwa3g",-0.0516,0.0,0.062,0.938,58
243,realDonaldTrump,Thu Jun 28 12:56:17 +0000 2018,....persecuted on old and/or totally unrelated charges (there was no collusion and there was no obstruction of the… https://t.co/SpG2p56INu,-0.6983,0.0,0.298,0.702,57
244,realDonaldTrump,Thu Jun 28 12:43:25 +0000 2018,When is Bob Mueller going to list his Conflicts of Interest? Why has it taken so long? Will they be listed at the t… https://t.co/RNYRkyxZFx,0.1926,0.116,0.09,0.794,56
245,realDonaldTrump,Thu Jun 28 12:30:31 +0000 2018,Peter Strzok worked as the leader of the Rigged Witch Hunt for a long period of time - he got it started and was on… https://t.co/HgmUjpufjL,-0.6124,0.0,0.185,0.815,55
246,realDonaldTrump,Thu Jun 28 11:38:40 +0000 2018,"Just watched @SharkGregNorman on @foxandfriends. Said “President is doing a great job. All over the world, people w… https://t.co/SBsUQf6LYp",0.6249,0.194,0.0,0.806,54
247,realDonaldTrump,Thu Jun 28 11:32:09 +0000 2018,"Amy Kremer, Women for Trump, was so great on @foxandfriends. Brave and very smart, thank you Amy! @AmyKremer",0.9403,0.512,0.0,0.488,53
248,realDonaldTrump,Thu Jun 28 11:25:15 +0000 2018,"Russia continues to say they had nothing to do with Meddling in our Election! Where is the DNC Server, and why didn… https://t.co/aKI3hu6wef",0.0,0.0,0.0,1.0,52
249,realDonaldTrump,Thu Jun 28 11:02:01 +0000 2018,"Lover FBI Agent Peter Strzok was given poor marks on yesterday’s closed door testimony and, according to most repor… https://t.co/rijMTcMPQg",0.1779,0.153,0.124,0.723,51
250,realDonaldTrump,Thu Jun 28 03:24:54 +0000 2018,...home addresses – putting these selfless public servants in harm’s way. These radical protesters want ANARCHY – b… https://t.co/sqGBkGUxM2,-0.1531,0.071,0.104,0.824,50
251,realDonaldTrump,Thu Jun 28 03:24:54 +0000 2018,In recent days we have heard shameless attacks on our courageous law enforcement officers. Extremist Democrat polit… https://t.co/bRsezeDPBR,-0.2263,0.143,0.224,0.633,49
252,realDonaldTrump,Thu Jun 28 03:03:04 +0000 2018,"Thank you North Dakota. Together, we are MAKING AMERICA SAFE AND GREAT AGAIN! #MAGA https://t.co/6Am9n6px8I",0.9054,0.484,0.0,0.516,48
253,realDonaldTrump,Wed Jun 27 23:14:58 +0000 2018,Just landed in North Dakota with @SenJohnHoeven and @RepKevinCramer. We will see everyone at Scheels Arena shortly! https://t.co/pakUigKB61,0.0,0.0,0.0,1.0,47
254,realDonaldTrump,Wed Jun 27 21:18:03 +0000 2018,"Today, it was my great honor to welcome President Marcelo Rebelo de Sousa of Portugal to the @WhiteHouse!🇺🇸🇵🇹 https://t.co/yd37K4Ei8R",0.8908,0.398,0.0,0.602,46
255,realDonaldTrump,Wed Jun 27 20:28:58 +0000 2018,Heading to North Dakota to fully stand with and endorse Kevin Cramer for Senate. He is an extraordinary Congressman… https://t.co/qMniRSctDT,0.3182,0.108,0.0,0.892,45
256,realDonaldTrump,Wed Jun 27 19:13:34 +0000 2018,Statement on Justice Anthony Kennedy. #SCOTUS https://t.co/8aWJ6fWemA,0.5267,0.362,0.0,0.638,44
257,realDonaldTrump,Wed Jun 27 17:33:03 +0000 2018,"Today, I was thrilled to join student leaders from Colleges and Universities across the country... https://t.co/OQp3NcOeE4",0.6249,0.282,0.0,0.718,43
258,realDonaldTrump,Wed Jun 27 15:26:24 +0000 2018,"Harley-Davidson should stay 100% in America, with the people that got you your success. I’ve done so much for you,… https://t.co/kNmruD0swh",0.5719,0.156,0.0,0.844,42
259,realDonaldTrump,Wed Jun 27 14:11:05 +0000 2018,"Supreme Court rules in favor of non-union workers who are now, as an example, able to support a candidate of his or… https://t.co/zZlPRIgB26",0.8402,0.321,0.0,0.679,41
260,realDonaldTrump,Wed Jun 27 12:39:56 +0000 2018,"HOUSE REPUBLICANS SHOULD PASS THE STRONG BUT FAIR IMMIGRATION BILL, KNOWN AS GOODLATTE II, IN THEIR AFTERNOON VOTE… https://t.co/7NPrGsNjNW",0.7626,0.279,0.0,0.721,40
261,realDonaldTrump,Wed Jun 27 11:18:02 +0000 2018,"Congratulations to Maxine Waters, whose crazy rants have made her, together with Nancy Pelosi, the unhinged FACE of… https://t.co/CusnE1izm7",0.0516,0.159,0.191,0.65,39
262,realDonaldTrump,Wed Jun 27 03:52:16 +0000 2018,Big and conclusive win by Mitt Romney. Congratulations! I look forward to working together - there is so much good… https://t.co/CqjLaLDkkc,0.8398,0.32,0.0,0.68,38
263,realDonaldTrump,Wed Jun 27 02:59:30 +0000 2018,The legendary Gary Player at Turnberry in Scotland! https://t.co/3oGoqWhhtA,0.0,0.0,0.0,1.0,37
264,realDonaldTrump,Wed Jun 27 02:54:46 +0000 2018,A great First Lady! https://t.co/Pt35aluI4C,0.6588,0.594,0.0,0.406,36
265,realDonaldTrump,Wed Jun 27 02:50:11 +0000 2018,RT @The_Trump_Train: @realDonaldTrump  https://t.co/9ubTCAyZkq,0.0,0.0,0.0,1.0,35
266,realDonaldTrump,Wed Jun 27 02:47:23 +0000 2018,The Democrats are in Turmoil! Open Borders and unchecked Crime a certain way to lose elections. Republicans are for… https://t.co/srI2CTyDds,-0.784,0.08,0.345,0.575,34
267,realDonaldTrump,Wed Jun 27 02:18:31 +0000 2018,"Wow! Big Trump Hater Congressman Joe Crowley, who many expected was going to take Nancy Pelosi’s place, just LOST h… https://t.co/4TuokLaPMJ",-0.3237,0.136,0.219,0.645,33
268,realDonaldTrump,Wed Jun 27 02:05:19 +0000 2018,"Tremendous win for Congressman Dan Donovan. You showed great courage in a tough race! New York, and my many friends… https://t.co/JvRCgZpcG8",0.8977,0.394,0.052,0.554,32
269,realDonaldTrump,Wed Jun 27 01:52:50 +0000 2018,Congratulations to Governor Henry McMaster on your BIG election win! South Carolina loves you. We are all proud of… https://t.co/jWLZKh1S99,0.9412,0.48,0.0,0.52,31
270,realDonaldTrump,Tue Jun 26 20:12:05 +0000 2018,"Today, we tell the story of an incredible HERO who defended our nation in World War Two – First Lieutenant Garlin M… https://t.co/nrpii7C3KK",0.1111,0.153,0.138,0.708,30
271,realDonaldTrump,Tue Jun 26 14:40:42 +0000 2018,SUPREME COURT UPHOLDS TRUMP TRAVEL BAN. Wow!,0.6239,0.503,0.259,0.239,29
272,realDonaldTrump,Tue Jun 26 13:30:44 +0000 2018,“The most profound question of our era: Was there a conspiracy in the Obama Department of Justice and the FBI to pr… https://t.co/EY5JfbWzmt,0.0,0.127,0.127,0.746,28
273,realDonaldTrump,Tue Jun 26 12:36:18 +0000 2018,"The face of the Democrats is now Maxine Waters who, together with Nancy Pelosi, have established a fine leadership… https://t.co/k95es4evL2",0.2023,0.091,0.0,0.909,27
274,realDonaldTrump,Tue Jun 26 12:17:49 +0000 2018,A Harley-Davidson should never be built in another country-never! Their employees and customers are already very an… https://t.co/iTUQaIXwHJ,0.0,0.0,0.0,1.0,26
275,realDonaldTrump,Tue Jun 26 11:57:00 +0000 2018,"It was great being with Governor Henry McMaster last night in South Carolina. Henry is tough on Crime and Borders,… https://t.co/XPG4k94aRL",0.0258,0.151,0.185,0.664,25
276,realDonaldTrump,Tue Jun 26 11:49:57 +0000 2018,....We are finishing our study of Tariffs on cars from the E.U. in that they have long taken advantage of the U.S.… https://t.co/MOBnXWSfYl,0.25,0.083,0.0,0.917,24
277,realDonaldTrump,Tue Jun 26 11:37:51 +0000 2018,"....When I had Harley-Davidson officials over to the White House, I chided them about tariffs in other countries, l… https://t.co/PhSv1BSMYa",0.0,0.0,0.0,1.0,23
278,realDonaldTrump,Tue Jun 26 11:25:01 +0000 2018,....We are getting other countries to reduce and eliminate tariffs and trade barriers that have been unfairly used… https://t.co/n5sU0778dD,0.0,0.0,0.0,1.0,22
279,realDonaldTrump,Tue Jun 26 11:16:36 +0000 2018,Early this year Harley-Davidson said they would move much of their plant operations in Kansas City to Thailand. Tha… https://t.co/uDeWOh3mWJ,0.0,0.0,0.0,1.0,21
280,realDonaldTrump,Tue Jun 26 01:35:03 +0000 2018,Thank you South Carolina. Now let’s get out tomorrow and VOTE for @HenryMcMaster! https://t.co/5xlz0wfMfu,0.4199,0.177,0.0,0.823,20
281,realDonaldTrump,Mon Jun 25 23:44:36 +0000 2018,Just landed in South Carolina - will be at the McMaster rally shortly! #MAGA,0.0,0.0,0.0,1.0,19
282,realDonaldTrump,Mon Jun 25 23:30:34 +0000 2018,The hearing of Peter Strzok and the other hating frauds at the FBI &amp; DOJ should be shown to the public on live tele… https://t.co/TFLQ7s7kmy,-0.765,0.0,0.223,0.777,18
283,realDonaldTrump,Mon Jun 25 23:22:12 +0000 2018,"Why is Senator Mark Warner (D-VA), perhaps in a near drunken state, claiming he has information that only he and Bo… https://t.co/oumPE3BtVX",0.0,0.0,0.0,1.0,17
284,realDonaldTrump,Mon Jun 25 23:11:24 +0000 2018,"RT @WhiteHouse: Today, @realDonaldTrump and @FLOTUS welcomed @KingAbdullahII and @QueenRania of the Hashemite Kingdom of Jordan to the Whit…",0.34,0.118,0.0,0.882,16
285,realDonaldTrump,Mon Jun 25 23:06:56 +0000 2018,“Director David Lynch: Trump Could Go Down as One of the Greatest Presidents” https://t.co/AcgnIZNh6e,0.6369,0.244,0.0,0.756,15
286,realDonaldTrump,Mon Jun 25 21:28:06 +0000 2018,"Surprised that Harley-Davidson, of all companies, would be the first to wave the White Flag. I fought hard for them… https://t.co/cTQIqsyfbK",-0.2023,0.084,0.164,0.752,14
287,realDonaldTrump,Mon Jun 25 17:11:17 +0000 2018,"Congresswoman Maxine Waters, an extraordinarily low IQ person, has become, together with Nancy Pelosi, the Face of… https://t.co/iZvAew0qOB",-0.2732,0.0,0.11,0.89,13
